site_id,latitude,longitude,direction,mag_arcsec2,reading_statistic,measurement_date,source_status
S1,26.46502,-80.05679,dune,17.49,mean_readings_5_to_8,2020-08-17,measured
S1,26.46502,-80.05679,north,17.38,mean_readings_5_to_8,2020-08-17,measured
S1,26.46502,-80.05679,ocean,19.08,mean_readings_5_to_8,2020-08-17,measured
S1,26.46502,-80.05679,south,16.78,mean_readings_5_to_8,2020-08-17,measured
S1,26.46502,-80.05679,zenith,18.69,mean_readings_5_to_8,2020-08-17,measured
S2,26.46414,-80.05687,dune,17.53,mean_readings_5_to_8,2020-08-17,measured
S2,26.46414,-80.05687,north,17.48,mean_readings_5_to_8,2020-08-17,measured
S2,26.46414,-80.05687,ocean,19.03,mean_readings_5_to_8,2020-08-17,measured
S2,26.46414,-80.05687,south,16.86,mean_readings_5_to_8,2020-08-17,measured
S2,26.46414,-80.05687,zenith,18.58,mean_readings_5_to_8,2020-08-17,measured
S3,26.46300,-80.05710,dune,17.21,mean_readings_5_to_8,2020-08-17,measured
S3,26.46300,-80.05710,north,17.38,mean_readings_5_to_8,2020-08-17,measured
S3,26.46300,-80.05710,ocean,18.96,mean_readings_5_to_8,2020-08-17,measured
S3,26.46300,-80.05710,south,16.77,mean_readings_5_to_8,2020-08-17,measured
S3,26.46300,-80.05710,zenith,18.34,mean_readings_5_to_8,2020-08-17,measured
S4,26.46230,-80.05728,dune,16.70,mean_readings_5_to_8,2020-08-17,measured
S4,26.46230,-80.05728,north,17.08,mean_readings_5_to_8,2020-08-17,measured
S4,26.46230,-80.05728,ocean,18.87,mean_readings_5_to_8,2020-08-17,measured
S4,26.46230,-80.05728,south,16.92,mean_readings_5_to_8,2020-08-17,measured
S4,26.46230,-80.05728,zenith,17.86,mean_readings_5_to_8,2020-08-17,measured
S5,26.46137,-80.05746,dune,16.09,mean_readings_5_to_8,2020-08-17,measured
S5,26.46137,-80.05746,north,17.23,mean_readings_5_to_8,2020-08-17,measured
S5,26.46137,-80.05746,ocean,18.84,mean_readings_5_to_8,2020-08-17,measured
S5,26.46137,-80.05746,south,16.40,mean_readings_5_to_8,2020-08-17,measured
S5,26.46137,-80.05746,zenith,17.75,mean_readings_5_to_8,2020-08-17,measured
S6,26.46048,-80.05766,dune,16.98,mean_readings_5_to_8,2020-08-17,measured
S6,26.46048,-80.05766,north,16.88,mean_readings_5_to_8,2020-08-17,measured
S6,26.46048,-80.05766,ocean,18.80,mean_readings_5_to_8,2020-08-17,measured
S6,26.46048,-80.05766,south,16.47,mean_readings_5_to_8,2020-08-17,measured
S6,26.46048,-80.05766,zenith,17.78,mean_readings_5_to_8,2020-08-17,measured
S7,26.45969,-80.05775,dune,16.98,mean_readings_5_to_8,2020-08-17,measured
S7,26.45969,-80.05775,north,17.14,mean_readings_5_to_8,2020-08-17,measured
S7,26.45969,-80.05775,ocean,18.68,mean_readings_5_to_8,2020-08-17,measured
S7,26.45969,-80.05775,south,16.36,mean_readings_5_to_8,2020-08-17,measured
S7,26.45969,-80.05775,zenith,17.95,mean_readings_5_to_8,2020-08-17,measured
S8,26.45873,-80.05789,dune,16.87,mean_readings_5_to_8,2020-08-17,measured
S8,26.45873,-80.05789,north,16.71,mean_readings_5_to_8,2020-08-17,measured
S8,26.45873,-80.05789,ocean,18.49,mean_readings_5_to_8,2020-08-17,measured
S8,26.45873,-80.05789,south,16.28,mean_readings_5_to_8,2020-08-17,measured
S8,26.45873,-80.05789,zenith,17.98,mean_readings_5_to_8,2020-08-17,measured
S9,26.45789,-80.05803,dune,16.88,mean_readings_5_to_8,2020-08-17,measured
S9,26.45789,-80.05803,north,16.87,mean_readings_5_to_8,2020-08-17,measured
S9,26.45789,-80.05803,ocean,18.26,mean_readings_5_to_8,2020-08-17,measured
S9,26.45789,-80.05803,south,16.09,mean_readings_5_to_8,2020-08-17,measured
S9,26.45789,-80.05803,zenith,17.15,mean_readings_5_to_8,2020-08-17,measured
