scenario,replicate,turtle_id,step,time_s,x_m,y_m,outcome
baseline,0,0,0,0.0,8.0,400.0,active
baseline,0,1,0,0.0,8.0,100.0,active
baseline,0,2,0,0.0,7.5,100.0,active
baseline,0,3,0,0.0,8.0,600.0,active
baseline,0,4,0,0.0,8.0,0.0,active
baseline,0,5,0,0.0,8.5,99.5,active
baseline,0,6,0,0.0,7.5,800.0,active
baseline,0,7,0,0.0,8.0,600.5,active
baseline,0,8,0,0.0,8.0,199.5,active
baseline,0,9,0,0.0,8.0,400.0,active
baseline,0,10,0,0.0,8.0,200.5,active
baseline,0,11,0,0.0,8.5,699.5,active
baseline,0,12,0,0.0,7.5,400.0,active
baseline,0,13,0,0.0,7.5,100.0,active
baseline,0,14,0,0.0,8.5,400.5,active
baseline,0,15,0,0.0,8.0,100.5,active
baseline,0,16,0,0.0,7.5,600.0,active
baseline,0,17,0,0.0,7.5,100.0,active
baseline,0,18,0,0.0,8.0,199.5,active
baseline,0,19,0,0.0,8.0,700.5,active
baseline,0,20,0,0.0,7.5,400.0,active
baseline,0,21,0,0.0,8.0,200.5,active
baseline,0,22,0,0.0,8.0,0.5,active
baseline,0,23,0,0.0,8.0,800.0,active
baseline,0,24,0,0.0,7.5,500.5,active
baseline,0,25,0,0.0,9.0,799.5,active
baseline,0,26,0,0.0,7.5,100.0,active
baseline,0,27,0,0.0,8.5,100.0,active
baseline,0,28,0,0.0,8.0,600.0,active
baseline,0,29,0,0.0,8.0,200.0,active
baseline,0,0,1,5.0,8.5,399.5,active
baseline,0,1,1,5.0,8.0,99.5,active
baseline,0,2,1,5.0,8.0,99.5,active
baseline,0,3,1,5.0,8.5,600.0,active
baseline,0,4,1,5.0,8.0,0.5,active
baseline,0,5,1,5.0,9.0,99.5,active
baseline,0,6,1,5.0,8.0,799.5,active
baseline,0,7,1,5.0,8.5,601.0,active
baseline,0,8,1,5.0,8.5,199.0,active
baseline,0,9,1,5.0,8.5,399.5,active
baseline,0,10,1,5.0,8.5,200.0,active
baseline,0,11,1,5.0,9.0,699.5,active
baseline,0,12,1,5.0,8.0,400.0,active
baseline,0,13,1,5.0,8.0,100.5,active
baseline,0,14,1,5.0,9.0,400.5,active
baseline,0,15,1,5.0,8.5,100.0,active
baseline,0,16,1,5.0,8.0,600.0,active
baseline,0,17,1,5.0,8.0,99.5,active
baseline,0,18,1,5.0,8.5,199.5,active
baseline,0,19,1,5.0,8.5,700.5,active
baseline,0,20,1,5.0,8.0,400.0,active
baseline,0,21,1,5.0,8.5,200.5,active
baseline,0,22,1,5.0,8.5,0.0,active
baseline,0,23,1,5.0,8.5,799.5,active
baseline,0,24,1,5.0,8.0,501.0,active
baseline,0,25,1,5.0,9.5,799.5,active
baseline,0,26,1,5.0,8.0,99.5,active
baseline,0,27,1,5.0,9.0,100.0,active
baseline,0,28,1,5.0,8.5,599.5,active
baseline,0,29,1,5.0,8.5,200.0,active
baseline,0,0,2,10.0,8.0,399.0,active
baseline,0,1,2,10.0,8.5,99.0,active
baseline,0,2,2,10.0,8.5,99.0,active
baseline,0,3,2,10.0,9.0,600.0,active
baseline,0,4,2,10.0,8.5,0.0,active
baseline,0,5,2,10.0,9.0,100.0,active
baseline,0,6,2,10.0,8.5,799.0,active
baseline,0,7,2,10.0,9.0,601.0,active
baseline,0,8,2,10.0,9.0,198.5,active
baseline,0,9,2,10.0,8.0,399.0,active
baseline,0,10,2,10.0,9.0,199.5,active
baseline,0,11,2,10.0,9.0,699.0,active
baseline,0,12,2,10.0,8.5,400.0,active
baseline,0,13,2,10.0,8.5,100.5,active
baseline,0,14,2,10.0,9.5,400.0,active
baseline,0,15,2,10.0,9.0,99.5,active
baseline,0,16,2,10.0,8.5,600.5,active
baseline,0,17,2,10.0,8.5,99.5,active
baseline,0,18,2,10.0,8.5,199.0,active
baseline,0,19,2,10.0,9.0,700.5,active
baseline,0,20,2,10.0,8.5,400.0,active
baseline,0,21,2,10.0,9.0,200.5,active
baseline,0,22,2,10.0,9.0,0.5,active
baseline,0,23,2,10.0,8.5,799.0,active
baseline,0,24,2,10.0,8.5,501.5,active
baseline,0,25,2,10.0,10.0,799.5,active
baseline,0,26,2,10.0,8.0,99.0,active
baseline,0,27,2,10.0,9.5,100.5,active
baseline,0,28,2,10.0,9.0,599.0,active
baseline,0,29,2,10.0,9.0,199.5,active
baseline,0,0,3,15.0,7.5,398.5,active
baseline,0,1,3,15.0,9.0,99.0,active
baseline,0,2,3,15.0,9.0,98.5,active
baseline,0,3,3,15.0,9.0,599.5,active
baseline,0,4,3,15.0,9.0,0.5,active
baseline,0,5,3,15.0,9.5,100.0,active
baseline,0,6,3,15.0,9.0,799.0,active
baseline,0,7,3,15.0,9.5,600.5,active
baseline,0,8,3,15.0,9.5,198.0,active
baseline,0,9,3,15.0,7.5,399.0,active
baseline,0,10,3,15.0,9.5,199.5,active
baseline,0,11,3,15.0,9.5,698.5,active
baseline,0,12,3,15.0,8.0,400.0,active
baseline,0,13,3,15.0,9.0,100.5,active
baseline,0,14,3,15.0,10.0,400.5,active
baseline,0,15,3,15.0,9.0,99.0,active
baseline,0,16,3,15.0,9.0,601.0,active
baseline,0,17,3,15.0,9.0,99.0,active
baseline,0,18,3,15.0,8.0,199.0,active
baseline,0,19,3,15.0,9.5,700.5,active
baseline,0,20,3,15.0,9.0,400.0,active
baseline,0,21,3,15.0,9.5,200.0,active
baseline,0,22,3,15.0,9.5,0.0,active
baseline,0,23,3,15.0,9.0,798.5,active
baseline,0,24,3,15.0,9.0,502.0,active
baseline,0,25,3,15.0,10.5,799.5,active
baseline,0,26,3,15.0,7.5,98.5,active
baseline,0,27,3,15.0,10.0,101.0,active
baseline,0,28,3,15.0,9.5,598.5,active
baseline,0,29,3,15.0,9.0,199.0,active
