scenario,replicate,turtle_id,nest_id,outcome,arrival_sea,disoriented,time_s,path_length_m,direct_distance_m,efficiency,initial_heading_deg,abs_initial_heading_deg,max_landward_displacement_m,landward_step_fraction,remaining_energy,start_x_m,start_y_m,end_x_m,end_y_m
baseline,0,0,N5,predated,0,1,235.0,26.935028842544394,39.5,1.4664918397120479,-111.80140948635182,111.80140948635182,4.5,0.391304347826087,0.8611095079764632,8.0,400.0,3.5,385.0
baseline,0,1,N2,sea,1,1,670.0,76.09797974644668,36.5,0.4796447963745625,-21.80140948635181,21.80140948635181,0.0,0.10852713178294573,0.6606058179253393,8.0,100.0,44.0,60.5
baseline,0,2,N2,sea,1,1,485.0,58.14823227814078,37.0,0.6363048118645754,-36.86989764584402,36.86989764584402,0.0,0.041666666666666664,0.7454671012243297,7.5,100.0,44.5,80.5
baseline,0,3,N7,sea,1,1,600.0,69.97665940288701,36.0,0.5144572534211994,-29.054604099077146,29.054604099077146,0.0,0.11016949152542373,0.8382393374877815,8.0,600.0,44.5,585.0
baseline,0,4,N1,sea,1,0,485.0,61.547727214752435,35.0,0.5686643777743075,0.0,0.0,0.0,0.05154639175257732,0.884571626157163,8.0,0.0,43.0,0.0
baseline,0,5,N2,sea,1,1,645.0,76.54772721475251,35.9925,0.4701968472430807,16.69924423399362,16.69924423399362,0.0,0.10236220472440945,0.8910548706816037,8.5,99.5,44.5,67.5
baseline,0,6,N9,sea,1,1,715.0,88.18986283848352,36.0,0.4082101824552406,-63.43494882292201,63.43494882292201,0.0,0.11267605633802817,0.7648321360963168,7.5,800.0,45.0,746.0
baseline,0,7,N7,sea,1,1,1080.0,124.17514421272224,36.0075,0.289973490494331,-36.86989764584402,36.86989764584402,0.0,0.15789473684210525,0.5544451817670221,8.0,600.5,45.5,549.0
baseline,0,8,N3,sea,1,1,880.0,104.6396103067894,37.9925,0.3630795249390843,-73.30075576600639,73.30075576600639,0.0,0.11627906976744186,0.685641902568803,8.0,199.5,45.5,138.0
baseline,0,9,N5,predated,0,1,415.0,49.07716446627532,39.5,0.8048549754161831,-131.18592516570965,131.18592516570965,4.0,0.3170731707317073,0.8430366271313362,8.0,400.0,7.0,367.5
baseline,0,10,N3,sea,1,1,635.0,76.16904755831214,37.995,0.49882466983603096,-36.86989764584402,36.86989764584402,0.0,0.088,0.8966713152756769,8.0,200.5,45.5,158.5
baseline,0,11,N8,sea,1,1,1060.0,123.50357133746843,36.9925,0.29952575135596293,-36.86989764584402,36.86989764584402,0.0,0.16990291262135923,0.5131438210905914,8.5,699.5,45.0,633.5
baseline,0,12,N5,censored,0,1,1800.0,213.47160876900438,40.0,0.18737854757671135,-126.86989764584402,126.86989764584402,7.0,0.34293948126801155,0.39612596700126157,7.5,400.0,13.5,302.0
baseline,0,13,N2,sea,1,0,425.0,50.90559159102151,37.0,0.7268356745023249,5.710593137499642,5.710593137499642,0.0,0.011904761904761904,0.6486854950388617,7.5,100.0,44.5,79.5
baseline,0,14,N5,censored,0,1,1800.0,213.1431816442582,38.995,0.18295213433138913,-116.56505117707799,116.56505117707799,8.5,0.3160919540229885,0.17128583422191257,8.5,400.5,18.0,295.5
baseline,0,15,N2,sea,1,1,530.0,63.59797974644661,36.5075,0.5740355298320584,-48.81407483429036,48.81407483429036,0.0,0.019230769230769232,0.8059844848186845,8.0,100.5,44.0,62.5
baseline,0,16,N7,sea,1,1,690.0,83.82590180780456,36.5,0.43542627293991953,48.81407483429036,48.81407483429036,0.0,0.043795620437956206,0.8526757680459381,7.5,600.0,45.5,548.5
